4KM,1级指标,过程指标,实践,组织核心能力
部署频率,构建频率,代码提交频率,小步提交,持续交付
部署频率,构建频率,构建时长,自动化构建,持续交付
部署频率,集成频率,集成时长,持续集成,持续交付
部署频率,集成频率,单测执行时长,单元测试,质量保障
部署频率,集成频率,接口测试执行时长,接口测试,质量保障
部署频率,研发周期,需求颗粒度,需求分层,高效协同
变更前置时间,研发周期,集成时长,持续集成,质量保障
部署频率,测试部署频率,集成频率,持续集成,质量保障
变更前置时间,需求交付周期,需求颗粒度,用户故事,高效协同
变更前置时间,需求交付周期,需求颗粒度,MVP,高效协同
部署频率,部署时长,部署时长,自动化部署,持续交付
变更前置时间,需求吞吐量,需求分析时长,MVP,高效协同
平均恢复时长,缺陷修复时长,缺陷修复率,接口测试,质量保障
平均恢复时长,持续集成恢复时长,集成时长,持续集成,持续交付
变更前置时间,需求一次性通过率,集成频率,持续集成,持续交付
变更前置时间,需求一次性通过率,单测执行率,单元测试,质量保障
变更前置时间,需求一次性通过率,单测覆盖率,单元测试,质量保障
变更失败率,持续集成成功率,集成频率,持续集成,持续交付
变更失败率,部署成功率,缺陷修复率,接口测试,质量保障
变更前置时间,需求吞吐量,分支生命周期,分支模型,持续交付
部署频率,计划完成率,需求波动率,需求变更管理,高效协同
平均恢复时长,缺陷修复时长,需求颗粒度,变更追溯,持续交付
平均恢复时长,缺陷修复时长,构建修复时长,单元测试,质量保障
部署频率,研发周期,技术债天数,技术债管理,高效协同
部署频率,研发周期,代码重复度,重构,持续交付
部署频率,研发周期,Sonar Bug/漏洞数,技术债管理,高效协同
部署频率,研发周期,代码评审覆盖率,Code Review,持续交付
部署频率,研发周期,代码评审频率,Code Review,持续交付
部署频率,研发周期,代码复杂度,技术债管理,高效协同
变更失败率,生产缺陷密度,单测执行率,测试前移,质量保障
变更失败率,部署成功率,单测执行率,小步提交,持续交付
变更失败率,生产缺陷密度,单测有效性,变异测试,质量保障
变更前置时间,环境申请时长,资源利用率,容器化,环境支撑
变更失败率,缺陷修复时长,单测通过率,测试替身,质量保障
变更前置时间,需求一次性通过率,单测覆盖率,TDD,持续交付
变更失败率,部署成功率,构建成功率,代码扫描,持续交付
变更失败率,需求一次性通过率,接口测试通过率,Mock Server,质量保障
变更失败率,部署成功率,接口测试通过率,接口测试,质量保障
变更失败率,持续集成成功率,接口测试执行率,持续集成,持续交付
变更失败率,缺陷修复时长,接口测试覆盖率,接口测试,质量保障
平均恢复时长,缺陷修复时长,案例执行率,接口测试,质量保障
平均恢复时长,缺陷修复时长,缺陷修复时长,制品管理,持续交付
变更失败率,部署成功率,案例执行率,测试策略,质量保障
平均恢复时长,缺陷修复时长,缺陷修复时长,监控告警,环境支撑
平均恢复时长,缺陷修复时长,缺陷修复时长,版本管理,持续交付
平均恢复时长,缺陷修复时长,部署时长,基础设施即代码,环境支撑
平均恢复时长,缺陷修复时长,部署时长,自动化回滚,持续交付
平均恢复时长,缺陷修复时长,缺陷修复率,测试前移,质量保障
变更失败率,生产缺陷密度,测试缺陷率,自动化测试,质量保障
变更失败率,生产缺陷密度,测试缺陷密度,自动化测试,质量保障
变更失败率,生产缺陷密度,生产缺陷个数,自动化测试,质量保障
,,,基础设施即代码,环境支撑
,,,环境一致性,环境支撑
